Question,Answer,Class
What do you mean by exclusions under the Accidental Protection Plan - Hospital Cash,Exclusions are situations or conditions where HDFC ERGO is not liable to pay the benefits to the insured person in the event of an accident.,insurance
Can I include my spouse in this the Accidental Protection Plan - Hospital Cash policy,"Yes, you can include your spouse and up to 2 children in the policy.",insurance
How do I make a claim,"You can make a claim by calling our toll-free number 1800-226-226 (MTNL or BSNL) or 1800-2-700-700 (any line) or 022 6638 4800 (local/STD charges apply). We will then assist you with the submission of the documents required and the process will be completed within 7 working days, once all the required documents are submitted.",insurance
When does my Revive Policy for Personal Accident start,It will commence within 15 days from the date of receipt of the form and premium payment.,insurance
What plans are available under  the Revive Policy for Personal Accident ,"HDFC ERGO offers a wide range of sums insured ranging from Rs. 2.5 Lakhs to Rs. 15 Lakhs, with four plan options to choose from: Self Plan Self and Family Plan Self + Dependent Parents Add-On Self and Family + Dependent Parents Add-On",insurance
What benefit do I get from the Revive Policy for Personal Accident if I break my bones,"You get 10% of the sum insured up to Rs. 50,000 (for dependent parents) if you break your bones in an accident.",insurance
Is there an age limit to buy an  Accidental Protection Plan - Hospital Cash policy,We can insure anyone between the age of 18 and 69 years.,insurance
Who can be a beneficiary under the Accidental Protection Plan - Hospital Cash,A beneficiary can be any member of your family.,insurance
How do I renew my Accidental Protection Plan - Hospital Cash policy,We will send you renewal reminders. The number of days in advance the reminder is sent depends on the pay plan you have opted for. Pay plan break up: Cheque – 45 days Credit Card – 60 days View more,insurance
Will I get a renewed Revive Policy for Personal Accident policy,"Yes, you will receive a renewed policy.",insurance
What is the definition of a dependent child,"A dependent child is an unmarried child between the age of 3 months and 18 years, or up to 21 years if in full time education, residing with the insured person.",insurance
Does  the Accidental Protection Plan - Hospital Cash policy cover natural death and daily sickness as well,This policy only covers accidental death.,insurance
Does this the Revive Policy for Personal Accident cover natural death and daily sickness,This policy only covers accidental death.,insurance
What benefit do I get from the Accidental Protection Plan - Hospital Cash policy if I break my bones,"You will be paid up to Rs. 50,000 if you break your bones in an accident.",insurance
How do I make my premium payments for my Accidental Protection Plan - Hospital Cash policy,"This is an annual policy where the premium can be made online via Credit Card, NetBanking or Cheque.",insurance
What is an accident,"An accident is any sudden or unexpected event, which leads to permanent physical disability or accidental death.",insurance
When does my Accidental Protection Plan - Hospital Cash policy start,Your policy will commence within 15 days from the date of receipt of the form and premium payment.,insurance
What is the definition of a dependent child,"A dependent child is an unmarried child between the age of 3 months and 18 years, or up to 21 years if in full time education, residing with the insured person.",insurance
Does  the Accidental Protection Plan - Hospital Cash policy have a hospital cash benefit,"Yes hospital cash provides a benefit of Rs. 1,000 for every day up to a maximum of 30 days in case of hospitalization due to an accident.",insurance
What is the cancellation procedure,"The policy can be cancelled with a notice period of 30 days. The premium paid by you will be returned on a pro-rata basis or 25% of the annual premium, whichever is higher will be retained. Any cancellation request sent after 30 days of commencement of the policy will be refunded on a pro-rata basis.",insurance
Does this the Revive Policy for Personal Accident have hospital cash benefit,"Yes, hospital cash provides a benefit of Rs. 250 every day up to a maximum of 30 days in case of hospitalization due to an accident.",insurance
What do you mean by exclusions under the Revive Policy for Personal Accident,Exclusions are situations or conditions where in HDFC ERGO is not liable to pay the benefits to the insured person in the event of an accident.,insurance
How many members can be included under the Family Plan of the Revive Policy for Personal Accident,You can include your spouse and up to 2 children under the Family Plan.,insurance
Is there an age limit to opt for a Revive Policy for Personal Accident,A Revive Policy is open to anyone between the age of 18 and 65 years.,insurance
Why should I purchase Critical Illness Insurance,Critical Illness Insurance provides you and your family with additional financial security on the diagnosis of a critical illness. The policy provides a lump sum amount which could be used for: Cost of care and treatment Recuperation aids Pay off of debts Any loss in income owing to a decrease in ability to earn View more,insurance
What is Critical Illness Insurance,Critical Illness Insurance is a policy that pays out a lump sum amount up to the sum insured upon diagnosis of a critical illness covered under the policy.,insurance
Can I make multiple claims for the same or any other listed Critical Illness,"No, you can make only one claim during the lifetime of the policy.",insurance
What is meant by disease under the Critical Illness - Platinum Plan,"Disease is a pathological condition of a part, organ or system resulting from various causes such as infection, pathological process or environmental stress and characterized by an identifiable group of signs or symptoms.",insurance
What are the available plans under the Critical Illness policy,"You can choose to be insured for any of the following amounts: Rs. 2,50,000, Rs. 5,00,000, Rs.7,50,000 or Rs. 10,00,000.",insurance
Who do I contact in the case of a claim under the Critical Illness policy,"In the case of a claim under the policy, you should immediately intimate us on our helpline number. On receipt of the intimation, we will register the claim and assign a unique claim reference number which will be communicated to the insured and may be used for all future correspondence.",insurance
What are the benefits under  the Critical Illness - Platinum Plan,"The company will pay the sum insured as a lump sum on the first diagnosis of any one of the following critical illnesses, provided that the insured person survives a period of 30 days from the date of the first diagnosis. The following critical illnesses are covered under our plan: Heart Attack (Myocardial Infarction ) Coronary Artery Bypass Surgery Stroke Cancer Kidney Failure Major Organ Transplant Multiple Sclerosis Paralysis View more",insurance
What is a Benefit Policy,"Under a Benefit Policy the insurance company pays the policy holder a lump sum amount, on the occurrence of an insured event.",insurance
What are the medical tests that I need to undergo to enrol myself for the  - Platinum Plan policy,No pre-policy medical check up is required for individuals up to the age of 45 years.,insurance
What documents are required at the time of a claim,The insured shall arrange for submission of the following documents required to process a claim within 45 days from the date of intimation. Duly completed claim form Original discharge summary Consultation note/ relevant treatment papers All relevant medical reports along with supporting invoices and doctors requisition advising the same Original and final hospitalization bills with detailed break-up Pharmacy Bills along with prescriptions Any other documents as may be required by the company On receipt of the claim documents the claim will be processed in accordance with the terms and conditions of the policy. View more,insurance
How do I make a claim under the Accidental Protection Plan - Hospital Cash policy,"You can make a claim by calling our toll-free number 1800-226-226 (MTNL or BSNL) or 1800-2-700-700 (Any Line) or 022 6638 4800 (Local/STD charges apply). We will then assist you with the submission of the required documents and the process will be completed within 7 working days, once all the required documents are submitted.",insurance
What do you mean by pre-existing diseases not covered under the Critical Illness plan,"A pre-existing disease is any condition, ailment, injury or related condition for which the insured person had signs or symptoms and/or was diagnosed and/or received medical advice or treatment prior to the first policy with the company",insurance
Is there any tax exemption under the Health Suraksha policy,"Yes, you can avail up to Rs. 15,000 as tax benefit under 'Section 80D'. In case you are a senior citizen, you can avail up to Rs. 20,000 as tax benefit under 'Section 80D'. Subject to changes in Tax laws",insurance
Is there any eligibility criterion to purchase this the Critical Illness policy,A Critical Illness policy covers individuals in the age group of 5 years to 45 years. Children between 5 years and 18 years will be covered only when both the parents are also insured under the policy.,insurance
What is meant by disease under the Critical Illness - Platinum Plan,"Disease is a pathological condition of a part, organ or system resulting from various causes such as infection, pathological process or environmental stress and characterized by an identifiable group of signs or symptoms.",insurance
Can I make multiple claims for the same or any other listed Critical Illness,"No, you can make only one claim during the lifetime of the policy.",insurance
Are there any eligibility criteria to purchase this the Critical Illness - Platinum Plan ,A Critical Illness policy covers individuals in the age group of 5 years to 45 years. Children between 5 and 18 years will be covered only if both parents are also insured under the policy.,insurance
What is Critical Illness insurance,"Critical Illness insurance is a policy that pays out a lump sum under ‘Section 80D’. In the case of senior citizens you can avail up to Rs. 20,000 as tax benefit under ‘Section 80D’.",insurance
Why should I buy Critical Illness insurance,Critical Illness insurance provides you and your family additional financial security on the diagnosis of a critical illness. The policy provides a lump sum amount which could be used for: Cost of care and treatment Recuperation aid Debts pay off Any lost in income due to a decrease in ability to work View more,insurance
How do I make a claim under the Accidental Protection Plan - Hospital Cash policy,"You can make a claim by calling our toll-free number 1800-226-226 (MTNL or BSNL) or 1800-2-700-700 (Any Line) or 022 6638 4800 (Local/STD charges apply). We will then assist you with the submission of the required documents and the process will be completed within 7 working days, once all the required documents are submitted.",insurance
